lat,lon,city_name,year,cluster
35.6264,-5.3414,Douar El Mellaliyine,2010,High
35.6264,-5.3414,Douar El Mellaliyine,1990,Medium
35.6264,-5.3414,Douar El Mellaliyine,1996,Medium
35.6264,-5.3414,Douar El Mellaliyine,1997,Medium
35.6264,-5.3414,Douar El Mellaliyine,1998,Medium
35.6264,-5.3414,Douar El Mellaliyine,2001,Medium
35.6264,-5.3414,Douar El Mellaliyine,2003,Medium
35.6264,-5.3414,Douar El Mellaliyine,2004,Medium
35.6264,-5.3414,Douar El Mellaliyine,2009,Medium
35.6264,-5.3414,Douar El Mellaliyine,2011,Medium
35.6264,-5.3414,Douar El Mellaliyine,2013,Medium
35.6264,-5.3414,Douar El Mellaliyine,2017,Medium
35.6264,-5.3414,Douar El Mellaliyine,1982,Low
35.6264,-5.3414,Douar El Mellaliyine,1983,Low
35.6264,-5.3414,Douar El Mellaliyine,1984,Low
35.6264,-5.3414,Douar El Mellaliyine,1985,Low
35.6264,-5.3414,Douar El Mellaliyine,1986,Low
35.6264,-5.3414,Douar El Mellaliyine,1987,Low
35.6264,-5.3414,Douar El Mellaliyine,1988,Low
35.6264,-5.3414,Douar El Mellaliyine,1989,Low
35.6264,-5.3414,Douar El Mellaliyine,1991,Low
35.6264,-5.3414,Douar El Mellaliyine,1992,Low
35.6264,-5.3414,Douar El Mellaliyine,1993,Low
35.6264,-5.3414,Douar El Mellaliyine,1994,Low
35.6264,-5.3414,Douar El Mellaliyine,1995,Low
35.6264,-5.3414,Douar El Mellaliyine,1999,Low
35.6264,-5.3414,Douar El Mellaliyine,2000,Low
35.6264,-5.3414,Douar El Mellaliyine,2002,Low
35.6264,-5.3414,Douar El Mellaliyine,2005,Low
35.6264,-5.3414,Douar El Mellaliyine,2006,Low
35.6264,-5.3414,Douar El Mellaliyine,2007,Low
35.6264,-5.3414,Douar El Mellaliyine,2008,Low
35.6264,-5.3414,Douar El Mellaliyine,2012,Low
35.6264,-5.3414,Douar El Mellaliyine,2014,Low
35.6264,-5.3414,Douar El Mellaliyine,2015,Low
35.6264,-5.3414,Douar El Mellaliyine,2016,Low
35.6264,-5.3414,Douar El Mellaliyine,2018,Low
35.6264,-5.3414,Douar El Mellaliyine,2019,Low
35.6264,-5.3414,Douar El Mellaliyine,2020,Low
